mean,count,Neun_Area,Kondition,Group,Area,cfos_per_area,cfos_per_area_ctrl,mean_ctrl,norm_cfos_per_area,norm_mean_intensity
105.63203402442474,37,459561,WT,0,Secret,8.051161869697385e-05,6.758149981188756e-05,115.89118178363586,1.1913263085471195,0.9114760277588287
110.16408313769438,48,462386,WT,0,Secret,0.00010380937139100232,6.758149981188756e-05,115.89118178363586,1.53606196488617,0.95058210160775
99.00146583919006,13,445369,WT,0,Secret,2.918927900235535e-05,6.758149981188756e-05,115.89118178363586,0.4319122701272304,0.8542622856674443
72.01774968115001,10,360577,WT,0,Secret,2.773332741689015e-05,6.758149981188756e-05,115.89118178363586,0.41036862890118736,0.6214256216284362
162.4108253558106,5,424463,WT,0,Secret,1.177958974044852e-05,6.758149981188756e-05,115.89118178363586,0.17430198757406823,1.4014079661300292
139.68083645263445,35,424463,WT,0,Secret,8.245712818313964e-05,6.758149981188756e-05,115.89118178363586,1.2201139130184777,1.205275796681519
122.83793224230541,58,424463,WT,0,Secret,0.00013664324098920284,6.758149981188756e-05,115.89118178363586,2.0219030558591915,1.0599420107013737
104.16450602203956,13,326592,WT,0,Secret,3.980501665686851e-05,6.758149981188756e-05,115.89118178363586,0.5889927978465317,0.8988130452971864
137.11270335756902,32,432673,WT,0,Secret,7.395885576405276e-05,6.758149981188756e-05,115.89118178363586,1.0943654102071796,1.1831159303695158
138.85801092349217,64,432673,WT,0,Secret,0.00014791771152810552,6.758149981188756e-05,115.89118178363586,2.188730820414359,1.1981758127441866
104.88130374256006,18,432673,WT,0,Secret,4.160185636727968e-05,6.758149981188756e-05,115.89118178363586,0.6155805432415385,0.9049981381531618
85.64703511108443,7,346624,WT,0,Secret,2.0194793205317577e-05,6.758149981188756e-05,115.89118178363586,0.2988213233137706,0.7390297846041813
134.9757859780667,36,399378,WT,0,Secret,9.014016796117963e-05,6.758149981188756e-05,115.89118178363586,1.3337994600901713,1.1646769314171033
119.10621122995207,51,399810,WT,0,Secret,0.0001275605912808584,6.758149981188756e-05,115.89118178363586,1.8875075521543923,1.0277417953362364
120.77806891656142,7,365405,WT,0,Secret,1.9156825987602796e-05,6.758149981188756e-05,115.89118178363586,0.2834625754226472,1.0421678945517112
80.06454264152475,5,310694,WT,0,Secret,1.6093004692720167e-05,6.758149981188756e-05,115.89118178363586,0.2381273682518868,0.6908596617040459
129.1746449926125,28,430978,WT,0,Secret,6.496851347400563e-05,6.758149981188756e-05,115.89118178363586,0.9613357746549699,1.1146201376544451
134.44914212281273,57,430978,WT,0,Secret,0.0001322573310006543,6.758149981188756e-05,115.89118178363586,1.9570049698333316,1.160132635232108
119.76470113285352,39,411671,WT,0,Secret,9.47358448858433e-05,6.758149981188756e-05,115.89118178363586,1.4018014567528037,1.0334237626159457
97.1020527683784,4,359844,WT,0,Secret,1.1115928013250187e-05,6.758149981188756e-05,115.89118178363586,0.1644818189029729,0.83787266014479
151.81179473708255,2,482421,KO,1,Secret,4.145756507283058e-06,6.758149981188756e-05,115.89118178363586,0.06134454723293698,1.3099512180358037
125.69540083683196,11,482421,KO,1,Secret,2.2801660790056818e-05,6.758149981188756e-05,115.89118178363586,0.3373950097811534,1.0845984906038855
82.65231096658167,8,445274,KO,1,Secret,1.7966465591972583e-05,6.758149981188756e-05,115.89118178363586,0.26584887346362635,0.713188956178652
,0,445274,KO,1,Secret,0.0,6.758149981188756e-05,115.89118178363586,0.0,
123.45920908773145,8,386206,KO,1,Secret,2.0714333801132038e-05,6.758149981188756e-05,115.89118178363586,0.30650893896687975,1.0653028745381576
116.98837302912254,13,386206,KO,1,Secret,3.366079242683956e-05,6.758149981188756e-05,115.89118178363586,0.4980770258211795,1.0094674264995855
111.28182645024245,7,331824,KO,1,Secret,2.1095520516900524e-05,6.758149981188756e-05,115.89118178363586,0.3121493393254026,0.9602268674591748
107.94763376872653,6,372346,KO,1,Secret,1.6114044464020023e-05,6.758149981188756e-05,115.89118178363586,0.2384386926728958,0.931456838280072
112.75185389471748,24,372346,KO,1,Secret,6.445617785608009e-05,6.758149981188756e-05,115.89118178363586,0.9537547706915832,0.9729114170672677
114.1646791720463,23,372346,KO,1,Secret,6.177050377874343e-05,6.758149981188756e-05,115.89118178363586,0.914014988579434,0.9851023815184414
121.63179347826087,1,310883,KO,1,Secret,3.216644203767977e-06,6.758149981188756e-05,115.89118178363586,0.04759651994586499,1.0495344995734233
175.85653932959593,13,408302,KO,1,Secret,3.183917786344421e-05,6.758149981188756e-05,115.89118178363586,0.47112268819230485,1.5174281306226816
141.17831377133754,24,408302,KO,1,Secret,5.8780020670973935e-05,6.758149981188756e-05,115.89118178363586,0.8697649628165629,1.218197205331047
121.13065937792214,19,408302,KO,1,Secret,4.65341830311877e-05,6.758149981188756e-05,115.89118178363586,0.6885639288964456,1.0452103215589619
88.04262313625742,15,296339,KO,1,Secret,5.0617704723306756e-05,6.758149981188756e-05,115.89118178363586,0.748987590748957,0.7597007967407686
103.72572734576832,38,459561,WT,0,Secret,8.268760839148666e-05,7.770681160287826e-05,108.05028733755962,1.0640972996558247,0.9599764137759212
105.92579100645014,51,462386,WT,0,Secret,0.00011029745710293996,7.770681160287826e-05,108.05028733755962,1.4194052596909605,0.9803378928139973
94.8640044636169,15,445369,WT,0,Secret,3.367993731041002e-05,7.770681160287826e-05,108.05028733755962,0.43342323041809777,0.8779616121450238
68.35599656038744,13,360577,WT,0,Secret,3.6053325641957195e-05,7.770681160287826e-05,108.05028733755962,0.463966091238027,0.6326313260679877
