ens,unet,fold,Nummer,mean,count,Neun_Area,Kondition,Group,Area,cfos_per_area,cfos_per_area_ctrl,mean_ctrl,norm_cfos_per_area,norm_mean_intensity
ens_f27,ens_f27,bin_average,1025,0.1916439741998899,224,542602,Ext,0,PVT,0.00041282560698265025,0.0004344899140005896,0.21218089224595713,0.9501385272250302,0.9032103323316167
ens_f27,ens_f27,bin_average,1026,0.17655809799333064,158,487431,Ext,0,PVT,0.00032414844357457774,0.0004344899140005896,0.21218089224595713,0.7460436551678801,0.8321112053231775
ens_f27,ens_f27,bin_average,1027,0.17162668909985082,151,434768,Ext,0,PVT,0.00034731166967210097,0.0004344899140005896,0.21218089224595713,0.7993549642480992,0.808869673810701
ens_f27,ens_f27,bin_average,1028,0.17195240604771414,113,411901,Ext,0,PVT,0.0002743377656281485,0.0004344899140005896,0.21218089224595713,0.6314019193268919,0.8104047646683912
ens_f27,ens_f27,bin_average,1029,0.14964944069311079,25,449586,Ext,0,PVT,5.560671373218917e-05,0.0004344899140005896,0.21218089224595713,0.12798159851442192,0.7052917871588514
ens_f27,ens_f27,bin_average,1030,0.15235811795747525,38,339907,Ext,0,PVT,0.00011179528518094655,0.0004344899140005896,0.21218089224595713,0.2573023713061262,0.7180576740193167
ens_f27,ens_f27,bin_average,1031,0.22790833207038708,282,442412,Ret,1,PVT,0.0006374148983300634,0.0004344899140005896,0.21218089224595713,1.4670418755202645,1.07412279050179
ens_f27,ens_f27,bin_average,1032,0.22390817666858948,242,412109,Ret,1,PVT,0.000587223283160523,0.0004344899140005896,0.21218089224595713,1.3515233938427536,1.0552702191912655
ens_f27,ens_f27,bin_average,1033,0.20104002695434542,290,511700,Ret,1,PVT,0.0005667383232362713,0.0004344899140005896,0.21218089224595713,1.3043762466612798,0.9474935505563933
ens_f27,ens_f27,bin_average,1034,0.20406494187870453,347,641083,Ret,1,PVT,0.000541271567020183,0.0004344899140005896,0.21218089224595713,1.2457632492234296,0.9617498527725828
ens_f27,ens_f27,bin_average,1035,0.20543774934539064,321,553625,Ret,1,PVT,0.0005798148566267781,0.0004344899140005896,0.21218089224595713,1.3344725342139732,0.9682198390760374
ens_f27,ens_f27,bin_average,1036,0.22084256966327698,291,471379,Ret,1,PVT,0.000617337641261066,0.0004344899140005896,0.21218089224595713,1.4208330765998591,1.0408221368363337
ens_f27,ens_f27,bin_average,1037,0.26939645615160257,261,476173,Ext,0,PVT,0.0005481201160082575,0.0004344899140005896,0.21218089224595713,1.2615255230240252,1.2696546484464868
ens_f27,ens_f27,bin_average,1038,0.24678589871478673,350,450011,Ext,0,PVT,0.0007777587658968336,0.0004344899140005896,0.21218089224595713,1.7900502194298995,1.163092001841127
ens_f27,ens_f27,bin_average,1039,0.30514189143311565,388,516728,Ext,0,PVT,0.0007508786053784583,0.0004344899140005896,0.21218089224595713,1.7281842021710068,1.4381214453533329
ens_f27,ens_f27,bin_average,1040,0.21244959875992203,310,385068,Ext,0,PVT,0.0008050526140837462,0.0004344899140005896,0.21218089224595713,1.8528683592932695,1.0012664029787066
ens_f27,ens_f27,bin_average,1041,0.25143556832995745,219,418636,Ext,0,PVT,0.0005231274902301761,0.0004344899140005896,0.21218089224595713,1.2040037602103375,1.1850057074814109
ens_f27,ens_f27,bin_average,1042,0.2471725675707294,134,473639,Ext,0,PVT,0.0002829158916389909,0.0004344899140005896,0.21218089224595713,0.6511449000830132,1.1649143565868807
ens_f27,ens_f27,bin_average,1043,0.2751794230345108,398,466784,Ret,1,PVT,0.000852642764105025,0.0004344899140005896,0.21218089224595713,1.9623994404249117,1.2969095384683682
ens_f27,ens_f27,bin_average,1044,0.29847264425488657,461,489765,Ret,1,PVT,0.0009412677508601064,0.0004344899140005896,0.21218089224595713,2.166374225337781,1.406689551992746
ens_f27,ens_f27,bin_average,1045,0.3086942712499471,390,542706,Ret,1,PVT,0.0007186211318835613,0.0004344899140005896,0.21218089224595713,1.6539420334682065,1.4548636683651655
ens_f27,ens_f27,bin_average,1046,0.3617284683406631,374,423768,Ret,1,PVT,0.000882558381000925,0.0004344899140005896,0.21218089224595713,2.031251710482116,1.7048117034089596
ens_f27,ens_f27,bin_average,1047,0.3174311646313707,332,461626,Ret,1,PVT,0.0007191969256497684,0.0004344899140005896,0.21218089224595713,1.6552672512641857,1.49604029501115
ens_f27,ens_f27,bin_average,1048,0.5665386496225823,502,418740,Ret,1,PVT,0.0011988345990352008,0.0004344899140005896,0.21218089224595713,2.7591770496968864,2.6700738394758874
ens_f27,f27_sc_cyc_mue_cFOS_staple_1.0014.h5,fold_1,1025,0.18790278194105528,229,542602,Ext,0,PVT,0.0004220404642813701,0.0004334048120328107,0.2105472368305118,0.973778907303456,0.8924495270974035
ens_f27,f27_sc_cyc_mue_cFOS_staple_1.0014.h5,fold_1,1026,0.17662448500156752,155,487431,Ext,0,PVT,0.0003179937262915161,0.0004334048120328107,0.2105472368305118,0.7337106498657023,0.8388829398114984
ens_f27,f27_sc_cyc_mue_cFOS_staple_1.0014.h5,fold_1,1027,0.17093939501964345,149,434768,Ext,0,PVT,0.0003427115151069076,0.0004334048120328107,0.2105472368305118,0.790742293560328,0.8118814456693525
ens_f27,f27_sc_cyc_mue_cFOS_staple_1.0014.h5,fold_1,1028,0.17273434822068587,110,411901,Ext,0,PVT,0.0002670544621158968,0.0004334048120328107,0.2105472368305118,0.6161778888963503,0.8204066261849597
ens_f27,f27_sc_cyc_mue_cFOS_staple_1.0014.h5,fold_1,1029,0.15007523396374928,25,449586,Ext,0,PVT,5.560671373218917e-05,0.0004334048120328107,0.2105472368305118,0.1283020220088823,0.712786528205821
ens_f27,f27_sc_cyc_mue_cFOS_staple_1.0014.h5,fold_1,1030,0.15152331526185644,37,339907,Ext,0,PVT,0.00010885330399197428,0.0004334048120328107,0.2105472368305118,0.25115850348180624,0.7196642309005036
ens_f27,f27_sc_cyc_mue_cFOS_staple_1.0014.h5,fold_1,1031,0.22448308514315604,281,442412,Ret,1,PVT,0.0006351545618111624,0.0004334048120328107,0.2105472368305118,1.4654995610964245,1.066188701986445
ens_f27,f27_sc_cyc_mue_cFOS_staple_1.0014.h5,fold_1,1032,0.21879315558302423,244,412109,Ret,1,PVT,0.0005920763681453207,0.0004334048120328107,0.2105472368305118,1.3661047402041717,1.0391642221320163
ens_f27,f27_sc_cyc_mue_cFOS_staple_1.0014.h5,fold_1,1033,0.1961944585001706,290,511700,Ret,1,PVT,0.0005667383232362713,0.0004334048120328107,0.2105472368305118,1.3076419723585502,0.9318310772138272
ens_f27,f27_sc_cyc_mue_cFOS_staple_1.0014.h5,fold_1,1034,0.20105742757506487,345,641083,Ret,1,PVT,0.0005381518461728044,0.0004334048120328107,0.2105472368305118,1.241684058948713,0.9549278850755656
ens_f27,f27_sc_cyc_mue_cFOS_staple_1.0014.h5,fold_1,1035,0.20431676704512425,317,553625,Ret,1,PVT,0.0005725897493790924,0.0004334048120328107,0.2105472368305118,1.3211430364454393,0.9704082092019901
ens_f27,f27_sc_cyc_mue_cFOS_staple_1.0014.h5,fold_1,1036,0.21576479384176697,291,471379,Ret,1,PVT,0.000617337641261066,0.0004334048120328107,0.2105472368305118,1.4243903715917459,1.02478093319959
ens_f27,f27_sc_cyc_mue_cFOS_staple_1.0014.h5,fold_1,1037,0.2689843876989593,259,476173,Ext,0,PVT,0.0005439199618626003,0.0004334048120328107,0.2105472368305118,1.2549928998513822,1.2775488852199413
ens_f27,f27_sc_cyc_mue_cFOS_staple_1.0014.h5,fold_1,1038,0.2472677097494006,344,450011,Ext,0,PVT,0.0007644257584814594,0.0004334048120328107,0.2105472368305118,1.76376850754391,1.1744049148859093
ens_f27,f27_sc_cyc_mue_cFOS_staple_1.0014.h5,fold_1,1039,0.29895230351016144,397,516728,Ext,0,PVT,0.0007682958926166184,0.0004334048120328107,0.2105472368305118,1.7726981133713278,1.419882340943827
ens_f27,f27_sc_cyc_mue_cFOS_staple_1.0014.h5,fold_1,1040,0.20716378842478697,312,385068,Ext,0,PVT,0.0008102465019165446,0.0004334048120328107,0.2105472368305118,1.8694912456468187,0.9839302170066071
