subarea,ens,unet,fold,type,grp_mean_1,grp_mean_2,grp_median_1,grp_median_2,grp_std_1,grp_std_2,anova_ok,U_mwu1_vs_2,eta^2_mwu1_vs_2,p_mwu1_vs_2,c_mwu1_vs_2,c0.01_mwu1_vs_2,c0.001_mwu1_vs_2,mwu1_vs_2,eta^2_aov1_vs_2,p_aov1_vs_2,c_aov1_vs_2,aov1_vs_2,ens_clean,valid,models_clean,initialization
Secret,ens_f27a,ens_f27a,e,norm_cfos_per_area,1.0,0.4475711918090151,1.0278505924310748,0.3373950097811534,0.6793599455026905,0.32078927561633663,False,220.0,0.15555555555555559,0.02052189670592501,0.1097559663055464,0.18956847431489185,0.30935903344750665,1,0.204,0.006463967170525495,0.1114522295797615,1,wue2_consensus1,yes,ensemble, from scratch
Secret,ens_f27a,f27a_sc_cyc_wue_02_Parv_staple_1.0012.h5,1,norm_cfos_per_area,1.0000000000000002,0.5504977953223834,0.9948743928241064,0.661879145807047,0.6517399519179762,0.3637973311129013,False,215.0,0.1341269841269841,0.031555214782181,0.1097559663055464,0.18956847431489185,0.30935903344750665,1,0.149,0.022203740051567424,0.1114522295797615,1,wue2_consensus1,yes,model1, from scratch
Secret,ens_f27a,f27a_sc_cyc_wue_02_Parv_staple_2.0006.h5,2,norm_cfos_per_area,0.9999999999999997,0.47874872598895063,1.044711560622003,0.3967903016939929,0.6958491755373581,0.33195307449186695,False,214.0,0.130031746031746,0.034288147741536185,0.1097559663055464,0.18956847431489185,0.30935903344750665,1,0.178,0.011545501296874863,0.1114522295797615,1,wue2_consensus1,yes,model2, from scratch
Secret,ens_f27a,f27a_sc_cyc_wue_02_Parv_staple_3.0021.h5,3,norm_cfos_per_area,0.9999999999999998,0.4057179231832465,0.9721944887251296,0.33091935660233346,0.6915198782635155,0.2906634864196804,False,225.0,0.17857142857142858,0.013015922694705246,0.1097559663055464,0.18956847431489185,0.30935903344750665,1,0.228,0.0037514831301106223,0.1114522295797615,1,wue2_consensus1,yes,model3, from scratch
Secret,ens_f27a,f27a_sc_cyc_wue_02_Parv_staple_4.0020.h5,4,norm_cfos_per_area,0.9999999999999998,0.4423088438419355,1.0045268937640945,0.35454527234268535,0.7035193541058928,0.30924953993947907,False,221.0,0.16003174603174605,0.018773411069677132,0.1097559663055464,0.18956847431489185,0.30935903344750665,1,0.199,0.007261598852816194,0.1114522295797615,1,wue2_consensus1,yes,model4, from scratch
Secret,ens_f27a,f27a_sc_cyc_wue_02_Parv_staple_5.0003.h5,5,norm_cfos_per_area,0.9999999999999998,0.5236270294151586,1.0661427606380822,0.7222157884217661,0.627859340054902,0.36285799677655683,False,214.0,0.130031746031746,0.034288147741536185,0.1097559663055464,0.18956847431489185,0.30935903344750665,1,0.172,0.013107173116520918,0.1114522295797615,1,wue2_consensus1,yes,model5, from scratch
Secret,ens_f27b,ens_f27b,e,norm_cfos_per_area,1.0,0.4309817805532079,1.0560051313289012,0.32614679019221676,0.6945622716186842,0.30045207253072537,False,222.0,0.16457142857142856,0.017156651336835287,0.1097559663055464,0.18956847431489185,0.30935903344750665,1,0.21,0.00561113485662452,0.1114522295797615,1,wue2_consensus2,yes,ensemble, from scratch
Secret,ens_f27b,f27b_sc_cyc_wue_02_Parv_staple_1.0008.h5,1,norm_cfos_per_area,1.0,0.5284275507531225,0.9987693727704388,0.6926058743723952,0.6484170923165218,0.3435139779906234,False,219.0,0.15114285714285713,0.02241074095874285,0.1097559663055464,0.18956847431489185,0.30935903344750665,1,0.165,0.015438695208273925,0.1114522295797615,1,wue2_consensus2,yes,model1, from scratch
Secret,ens_f27b,f27b_sc_cyc_wue_02_Parv_staple_2.0027.h5,2,norm_cfos_per_area,1.0,0.38912871830196843,0.9828110907423085,0.3706156888753326,0.7635342874684563,0.29969465877951484,False,217.5,0.14464285714285716,0.025506362116158147,0.1097559663055464,0.18956847431489185,0.30935903344750665,1,0.206,0.006180863935808735,0.1114522295797615,1,wue2_consensus2,yes,model2, from scratch
Secret,ens_f27b,f27b_sc_cyc_wue_02_Parv_staple_3.0023.h5,3,norm_cfos_per_area,1.0,0.4068693877711655,1.016996604935205,0.33089390776362726,0.695176409108915,0.2897351169795826,False,228.0,0.19314285714285714,0.009785073204469958,0.1097559663055464,0.18956847431489185,0.30935903344750665,1,0.225,0.003946406266192778,0.1114522295797615,1,wue2_consensus2,yes,model3, from scratch
