subarea,ens,unet,fold,type,grp_mean_1,grp_mean_2,grp_mean_3,grp_median_1,grp_median_2,grp_median_3,grp_std_1,grp_std_2,grp_std_3,anova_ok,U_kwa_all,eta^2_kwa_all,p_kwa_all,kwa_all,c_kwa_all,eta^2_aov_all,p_aov_all,aov_all,c_aov_all,U_mwu1_vs_2,eta^2_mwu1_vs_2,p_mwu1_vs_2,c_mwu1_vs_2,c0.01_mwu1_vs_2,c0.001_mwu1_vs_2,mwu1_vs_2,eta^2_aov1_vs_2,p_aov1_vs_2,c_aov1_vs_2,aov1_vs_2,U_mwu1_vs_3,eta^2_mwu1_vs_3,p_mwu1_vs_3,c_mwu1_vs_3,c0.01_mwu1_vs_3,c0.001_mwu1_vs_3,mwu1_vs_3,eta^2_aov1_vs_3,p_aov1_vs_3,c_aov1_vs_3,aov1_vs_3,U_mwu2_vs_3,eta^2_mwu2_vs_3,p_mwu2_vs_3,c_mwu2_vs_3,c0.01_mwu2_vs_3,c0.001_mwu2_vs_3,mwu2_vs_3,eta^2_aov2_vs_3,p_aov2_vs_3,c_aov2_vs_3,aov2_vs_3,ens_clean,valid,models_clean,initialization
BLA,ens_f27a,ens_f27a,e,norm_cfos_per_area,0.9999999999999998,1.9578245293974366,1.5589923220532662,1.0352057639957404,1.9080447509463814,1.7409723458934885,0.31195650316535795,0.32618887793174156,0.43504915035684727,True,15.587076923076935,0.6175944055944061,0.00041239106927901066,1,0.18143020668672633,0.64,1.3013605607579846e-05,1,0.2384041903808527,0.0,0.7142857142857143,0.00018267179110955002,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.714,2.7177500259928238e-06,0.2789930525945598,2,7.0,0.32400000000000007,0.032088733978231275,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.389,0.01290298289958912,0.367094137707543,3,36.0,0.121,0.19844930359201252,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.236,0.06624578298953109,0.367094137707543,0,inns2_consensus1,yes,ensemble, from scratch
BLA,ens_f27a,f27a_sc_cyc_inns_02_cFOS_staple_1.0016.h5,1,norm_cfos_per_area,1.0,1.9115257658123412,1.5007693981208505,1.032421168917884,1.8677325578737771,1.6768911997832974,0.27390326703791346,0.4162608424314257,0.4420351918273508,True,15.197538461538471,0.5998881118881123,0.0005010677528620717,1,0.18143020668672633,0.58,7.2044398531631e-05,1,0.2384041903808527,0.0,0.7142857142857143,0.00018267179110955002,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.65,1.7565912972538114e-05,0.2789930525945598,2,9.0,0.25599999999999995,0.05764939242959465,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.365,0.017143043606971057,0.367094137707543,0,37.0,0.14399999999999993,0.15899590887730153,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.194,0.100641756847869,0.367094137707543,0,inns2_consensus1,yes,model1, from scratch
BLA,ens_f27a,f27a_sc_cyc_inns_02_cFOS_staple_2.0027.h5,2,norm_cfos_per_area,1.0000000000000002,1.9867532139583726,1.532665105524476,0.9339502349926888,1.9715672121081629,1.6398183978421506,0.3098281402605782,0.2556147357355177,0.41604576468425647,True,17.329846153846162,0.6968111888111892,0.00017253282031013065,1,0.18143020668672633,0.694,2.164198185757677e-06,1,0.2384041903808527,0.0,0.7142857142857143,0.00018267179110955002,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.77,3.7124033831883743e-07,0.2789930525945598,2,7.0,0.32400000000000007,0.032088733978231275,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.378,0.014724670269161882,0.367094137707543,3,44.0,0.36099999999999993,0.02346497828868561,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.349,0.02033243047120651,0.367094137707543,0,inns2_consensus1,yes,model2, from scratch
BLA,ens_f27a,f27a_sc_cyc_inns_02_cFOS_staple_3.0019.h5,3,norm_cfos_per_area,1.0,1.546695987453175,1.7661012596689765,0.9176405008426198,1.458762205783509,1.6859222661835995,0.4574876770700768,0.3448995277256063,0.4577707761250625,False,12.125538461538468,0.4602517482517486,0.0023279453353459707,1,0.18143020668672633,0.394,0.0040485166598637785,1,0.2384041903808527,9.0,0.4802857142857143,0.0022022199424970783,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.336,0.007398751014287443,0.2789930525945598,2,4.0,0.44099999999999984,0.012048283642041375,0.38207595212927087,0.5743597281356938,0.8582087797079487,3,0.418,0.009179527540481592,0.367094137707543,3,18.0,0.049,0.4259831165449188,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.078,0.3148949050029454,0.367094137707543,0,inns2_consensus1,yes,model3, from scratch
BLA,ens_f27a,f27a_sc_cyc_inns_02_cFOS_staple_4.0023.h5,4,norm_cfos_per_area,1.0000000000000002,2.0188316901607233,1.4185405481045532,0.9821674231812139,1.9864495524688397,1.3211851713061145,0.31974687289472953,0.3097835148577151,0.4695451980637194,True,16.648615384615397,0.6658461538461544,0.00024254878506168852,1,0.18143020668672633,0.662,6.5587341995322565e-06,1,0.2384041903808527,0.0,0.7142857142857143,0.00018267179110955002,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.744,9.91121866379e-07,0.2789930525945598,2,10.0,0.22499999999999992,0.07575268761638222,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.245,0.0608301087891425,0.367094137707543,0,44.0,0.36099999999999993,0.02346497828868561,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.408,0.010419527752224404,0.367094137707543,2,inns2_consensus1,yes,model4, from scratch
BLA,ens_f27a,f27a_sc_cyc_inns_02_cFOS_staple_5.0023.h5,5,norm_cfos_per_area,1.0,2.0134904343338627,1.426710399126134,1.025447120675336,1.9845609609501667,1.4504715070259038,0.31827706144740214,0.3065487659080579,0.5194209202997749,True,15.673846153846156,0.6215384615384617,0.0003948821954458012,1,0.18143020668672633,0.645,1.1168888313340011e-05,1,0.2384041903808527,0.0,0.7142857142857143,0.00018267179110955002,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.745,9.619291618750395e-07,0.2789930525945598,2,12.0,0.16899999999999996,0.12578642463894,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.234,0.06795407725761783,0.367094137707543,0,42.0,0.2889999999999999,0.043297465779303324,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.374,0.015495421612336645,0.367094137707543,2,inns2_consensus1,yes,model5, from scratch
BLA,ens_f27b,ens_f27b,e,norm_cfos_per_area,1.0,1.9589657096398778,1.498409319792529,1.0098076175842108,1.8998190839100584,1.5991176631864101,0.29184761377517404,0.32416391415930446,0.4498281928337428,True,16.33292307692308,0.6514965034965037,0.00028402123869511323,1,0.18143020668672633,0.646,1.0978246033712069e-05,1,0.2384041903808527,0.0,0.7142857142857143,0.00018267179110955002,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.729,1.7021124384406466e-06,0.2789930525945598,2,8.0,0.2889999999999999,0.043297465779303324,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.344,0.02144864864470917,0.367094137707543,0,41.0,0.25599999999999995,0.05764939242959465,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.287,0.03949626129743355,0.367094137707543,0,inns2_consensus2,yes,ensemble, from scratch
BLA,ens_f27b,f27b_sc_cyc_inns_02_cFOS_staple_1.0025.h5,1,norm_cfos_per_area,1.0,2.02475227937357,1.375637670524571,0.9927621931228982,2.1215672911295163,1.3415139238821683,0.30808158541456865,0.3356529490755392,0.4980130684504157,True,15.956307692307703,0.6343776223776229,0.00034287183272487025,1,0.18143020668672633,0.651,9.481713208627271e-06,1,0.2384041903808527,0.0,0.7142857142857143,0.00018267179110955002,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.738,1.2533780254897294e-06,0.2789930525945598,2,12.0,0.16899999999999996,0.12578642463894,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.203,0.09188068575579737,0.367094137707543,0,43.0,0.32400000000000007,0.032088733978231275,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.412,0.009911141199448156,0.367094137707543,2,inns2_consensus2,yes,model1, from scratch
BLA,ens_f27b,f27b_sc_cyc_inns_02_cFOS_staple_2.0015.h5,2,norm_cfos_per_area,1.0,1.2007828792423332,2.020491403032974,0.7614853113353024,1.1345920283256992,2.07473492521819,0.9253839564544778,0.3544011522489093,0.9877068657127864,False,9.073846153846162,0.32153846153846194,0.01070629838131864,1,0.18143020668672633,0.22,0.06525328228753659,0,0.2384041903808527,16.0,0.33028571428571435,0.011329696684474665,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.022,0.529762159452495,0.2789930525945598,0,7.0,0.32400000000000007,0.032088733978231275,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.23,0.07032068278011097,0.367094137707543,0,14.0,0.121,0.19844930359201252,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.308,0.03176741861373011,0.367094137707543,0,inns2_consensus2,yes,model2, from scratch
BLA,ens_f27b,f27b_sc_cyc_inns_02_cFOS_staple_3.0019.h5,3,norm_cfos_per_area,1.0000000000000002,2.0090129373127317,1.5675259440058025,1.0262103123471369,2.009841958955479,1.736316428439387,0.2578344578670845,0.4003416485382503,0.42597627667914656,False,15.956307692307703,0.6343776223776229,0.00034287183272487025,1,0.18143020668672633,0.649,1.0088925196913835e-05,1,0.2384041903808527,0.0,0.7142857142857143,0.00018267179110955002,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.714,2.771760486089579e-06,0.2789930525945598,2,7.0,0.32400000000000007,0.032088733978231275,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.448,0.006369546375392096,0.367094137707543,3,38.0,0.16899999999999996,0.12578642463894,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.231,0.07006304317582361,0.367094137707543,0,inns2_consensus2,yes,model3, from scratch
