Unnamed: 0,subarea,ens,unet,fold,Experiment,Nummer,mean,count,Neun_Area,Kondition,Group,cfos_per_area,cfos_per_area_ctrl,mean_ctrl,norm_cfos_per_area,norm_mean_intensity
540,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1262,0.23166884558784825,92,107291,+,2,0.0008574810561929705,0.00016593607164045978,0.13553185976718182,5.167538605173855,1.7093312670969882
541,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1266,0.15256725870468554,66,120031,-,1,0.0005498579533620481,0.00016593607164045978,0.13553185976718182,3.313673440175485,1.1256929475236843
542,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1270,0.15112767259318985,61,124019,-,1,0.0004918601182076941,0.00016593607164045978,0.13553185976718182,2.964154287522406,1.115071193244147
543,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1274,0.16082568474785106,61,116457,-,1,0.0005237984835604559,0.00016593607164045978,0.13553185976718182,3.1566282025489345,1.1866264140706049
544,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1280,0.18465761538004374,61,107246,-,1,0.0005687857822203159,0.00016593607164045978,0.13553185976718182,3.4277404339951265,1.3624664761278324
545,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1287,0.19472821316124636,73,113211,-,1,0.0006448136665165046,0.00016593607164045978,0.13553185976718182,3.885916185322548,1.4367707599951236
546,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1294,0.21424529784240054,69,109523,-,1,0.0006300046565561572,0.00016593607164045978,0.13553185976718182,3.796670912646487,1.5807744261049288
547,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1359,0.13284977661348393,29,87378,+,2,0.0003318913227585891,0.00016593607164045978,0.13553185976718182,2.00011558353455,0.9802106813976788
548,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1363,0.14137199817779894,64,100677,+,2,0.0006356963358065894,0.00016593607164045978,0.13553185976718182,3.830971346507333,1.0430905207133538
549,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1369,0.1615446844955423,52,69354,+,2,0.0007497765089252242,0.00016593607164045978,0.13553185976718182,4.518466066557213,1.1919314379146395
