subarea,ens,unet,fold,type,grp_mean_1,grp_mean_2,grp_median_1,grp_median_2,grp_std_1,grp_std_2,anova_ok,U_mwu1_vs_2,eta^2_mwu1_vs_2,p_mwu1_vs_2,c_mwu1_vs_2,c0.01_mwu1_vs_2,c0.001_mwu1_vs_2,mwu1_vs_2,eta^2_aov1_vs_2,p_aov1_vs_2,c_aov1_vs_2,aov1_vs_2,ens_clean,valid,models_clean,initialization
BLA,ens_f27n,ens_f27n,e,norm_cfos_per_area,1.0,2.629419338571155,0.6262485972421785,2.344743938764723,1.2249647802794261,1.2655626004965703,False,13.0,0.3911428571428571,0.005776978583674299,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.322,0.009033610001418186,0.19692595459182813,2,inns1_consensus1,yes,ensemble, from scratch
BLA,ens_f27n,f27n_sc_cyc_inns_01_cFOS_staple_3.0025.h5,3,norm_cfos_per_area,1.0000000000000002,2.2394736652545886,0.8222287012327336,1.9114398015684608,0.9221831567404706,1.1155950339069747,False,15.0,0.35,0.009108496398030965,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.289,0.014404874482333447,0.19692595459182813,2,inns1_consensus1,yes,model3, from scratch
BLA,ens_f27n,f27o_sc_cyc_inns_01_cFOS_staple_4.0018.h5,4,norm_cfos_per_area,0.9999999999999998,2.761746438870652,0.447694501775885,2.659378583189617,1.4773688834558902,1.2296571599057637,False,12.0,0.4125714285714285,0.004571108461619217,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.318,0.009578859139969724,0.19692595459182813,2,inns1_consensus1,yes,model4, from scratch
BLA,ens_fsx27,ens_fsx27,e,norm_cfos_per_area,0.9999999999999997,2.4337621590835825,0.5714537589990516,2.222899149051221,1.236383100427668,1.361796412908579,False,15.0,0.35,0.009082426667640772,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.252,0.023987576835752193,0.19692595459182813,2,inns1_consensus2,yes,ensemble, from scratch
BLA,ens_fsx27,fsx27_sc_cyc_inns_01_cFOS_staple_3.0024.h5,3,norm_cfos_per_area,1.0000000000000002,2.64105488628498,0.5339115846769985,2.258790289504293,1.1795556784481749,1.7059214207431572,False,19.0,0.2745714285714285,0.02108547103525801,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.258,0.022208848637953145,0.19692595459182813,2,inns1_consensus2,yes,model3, from scratch
BLA,ens_fsx27,fsx27_sc_cyc_inns_01_cFOS_staple_4.0018.h5,4,norm_cfos_per_area,0.9999999999999998,2.413015839404806,0.5168597544411305,2.283414908182286,1.3630509881033344,1.1805851840399677,False,14.0,0.3702857142857142,0.007262595901896159,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.254,0.02335286080468286,0.19692595459182813,2,inns1_consensus2,yes,model4, from scratch
BLA,ens_fsy27,ens_fsy27,e,norm_cfos_per_area,1.0000000000000002,2.080380791216789,0.5281221384890258,1.919227980272423,1.0020957853180548,1.139383195877694,False,19.0,0.2745714285714285,0.0211339281291611,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.22,0.03707730521563831,0.19692595459182813,2,inns1_consensus3,yes,ensemble, from scratch
BLA,ens_fsy27,fsy27_sc_cyc_inns_01_cFOS_staple_3.0027.h5,3,norm_cfos_per_area,1.0,2.1774186826216133,0.7364647801231725,1.8079378264800288,0.9334903945422747,0.9375895174603296,False,13.0,0.3911428571428571,0.00579535854433471,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.306,0.011482155168872726,0.19692595459182813,2,inns1_consensus3,yes,model3, from scratch
BLA,ens_fsy27,fsy27_sc_cyc_inns_01_cFOS_staple_4.0012.h5,4,norm_cfos_per_area,1.0,2.085847488889018,0.42138191710989054,1.747371989543506,1.1074408653707466,1.3872711049992315,False,24.0,0.19314285714285714,0.053902557169387175,0.1920729410347062,0.3317448300510607,0.5413783085331366,0,0.172,0.06894011890723244,0.19692595459182813,0,inns1_consensus3,yes,model4, from scratch
BLA,ens_p27a,ens_p27a,e,norm_cfos_per_area,1.0000000000000002,2.0940741247561436,0.7093025183756498,1.731384115810351,0.902630005386562,0.9133193715382647,False,14.0,0.3702857142857142,0.00728455700947966,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.287,0.014829170405017657,0.19692595459182813,2,inns1_consensus4,yes,ensemble,fine-tuned
BLA,ens_p27a,p27a_sc_cyc_inns_01_cFOS_staple_1.0009.h5,1,norm_cfos_per_area,0.9999999999999998,2.824394067202058,0.7408867864246371,2.174447023017362,0.8345960283239884,1.4599125441370258,False,8.0,0.5039999999999999,0.0017062493689195964,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.395,0.0029814173324936083,0.19692595459182813,2,inns1_consensus4,yes,model1,fine-tuned
BLA,ens_p27a,p27a_sc_cyc_inns_01_cFOS_staple_3.0026.h5,3,norm_cfos_per_area,1.0,2.101272894883508,0.7879055271648665,1.8907412300108244,0.8776591787410756,0.9005561377261926,False,16.0,0.33028571428571435,0.011329696684474665,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.299,0.012637127622131946,0.19692595459182813,2,inns1_consensus4,yes,model3,fine-tuned
BLA,ens_p27a,p27a_sc_cyc_inns_01_cFOS_staple_4.0016.h5,4,norm_cfos_per_area,1.0000000000000002,1.7511623162793133,0.6522443482668288,1.5446330970229192,1.0291269758991266,0.809426338138539,False,22.0,0.224,0.03763531378731424,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.155,0.08634584915710877,0.19692595459182813,0,inns1_consensus4,yes,model4,fine-tuned
BLA,ens_p27b,ens_p27b,e,norm_cfos_per_area,1.0000000000000002,1.8877762972313292,0.8417654218552298,1.5901245901021563,0.8105524390877696,0.8530956283125379,False,20.0,0.2571428571428572,0.025748080821108063,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.24,0.028243225633893764,0.19692595459182813,2,inns1_consensus5,yes,ensemble,fine-tuned
BLA,ens_p27b,p27b_sc_cyc_inns_01_cFOS_staple_1.0015.h5,1,norm_cfos_per_area,1.0000000000000002,2.5706001445662583,0.5893381858587092,1.8445792662206797,0.9444735595122504,1.3915545224896644,False,12.0,0.4125714285714285,0.004586392080253494,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.326,0.008507658968143678,0.19692595459182813,2,inns1_consensus5,yes,model1,fine-tuned
BLA,ens_p27b,p27b_sc_cyc_inns_01_cFOS_staple_3.0027.h5,3,norm_cfos_per_area,1.0,1.8679835695577673,0.8349933412836601,1.643747361837783,0.8308925011164202,0.776190491100729,False,25.0,0.17857142857142858,0.06402210128302689,0.1920729410347062,0.3317448300510607,0.5413783085331366,0,0.245,0.02664941609123139,0.19692595459182813,2,inns1_consensus5,yes,model3,fine-tuned
BLA,ens_p27b,p27b_sc_cyc_inns_01_cFOS_staple_4.0002.h5,4,norm_cfos_per_area,1.0,1.4959263738020852,0.6764757265955619,1.4256929222615644,0.8717531822661325,0.7429703603808357,True,25.0,0.17857142857142858,0.06402210128302689,0.1920729410347062,0.3317448300510607,0.5413783085331366,0,0.094,0.1877895410915155,0.19692595459182813,0,inns1_consensus5,yes,model4,fine-tuned
BLA,ens_p27c,ens_p27c,e,norm_cfos_per_area,1.0,1.9992293874726392,0.9264697446989236,1.7391335738699376,0.8542508347445487,0.9350065377353786,False,13.0,0.3911428571428571,0.00579535854433471,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.257,0.022542370456420442,0.19692595459182813,2,inns1_consensus6,yes,ensemble,fine-tuned
BLA,ens_p27c,p27c_sc_cyc_inns_01_cFOS_staple_3.0024.h5,3,norm_cfos_per_area,1.0,2.0782519726962505,0.9756282502920648,1.69486804183644,0.8887073045307847,0.9522127671410273,False,14.0,0.3702857142857142,0.00728455700947966,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.276,0.017432716378945532,0.19692595459182813,2,inns1_consensus6,yes,model3,fine-tuned
BLA,ens_p27c,p27c_sc_cyc_inns_01_cFOS_staple_4.0016.h5,4,norm_cfos_per_area,0.9999999999999998,1.8489964297652872,0.7442654973134377,1.678332248416607,0.8667194042613441,0.8282689514202917,True,20.0,0.2571428571428572,0.025748080821108063,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.218,0.0379907317398428,0.19692595459182813,2,inns1_consensus6,yes,model4,fine-tuned
BLA,ens_x0,ens_x0,e,norm_cfos_per_area,1.0,2.3426736256765492,0.6220331436042534,2.054208601774168,0.9188775818367311,0.9021084381120151,True,15.0,0.35,0.009108496398030965,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.377,0.00400497261821842,0.19692595459182813,2,wue1_consensus1,no,ensemble,frozen
BLA,ens_x0,sc_cyca_cFOS_staple_1.0010.h5,1,norm_cfos_per_area,1.0,2.6042319199211024,0.5884479473308395,2.4195332076071123,1.0566230041131366,1.0059893356825789,True,13.0,0.3911428571428571,0.00579535854433471,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.402,0.002689263654124149,0.19692595459182813,2,wue1_consensus1,no,model1,frozen
