ens,unet,fold,Nummer,mean,count,Neun_Area,Kondition,Group,Area,cfos_per_area,cfos_per_area_ctrl,mean_ctrl,norm_cfos_per_area,norm_mean_intensity
ens_a1,ens_a1,bin_average,1075,0.15808473148764207,53,419427,Ext,1,BLA,0.0001263628712505394,4.303538740732456e-05,0.05876339858422429,2.936254995325838,2.6901904126777607
ens_a1,ens_a1,bin_average,1076,0.16784402327058884,39,429324,Ext,1,BLA,9.084048410990301e-05,4.303538740732456e-05,0.05876339858422429,2.110832261136845,2.8562681416395903
ens_a1,ens_a1,bin_average,1077,0.09287020456733144,32,303620,Ext,1,BLA,0.00010539490152163889,4.303538740732456e-05,0.05876339858422429,2.4490287614722583,1.5804090097720032
ens_a1,ens_a1,bin_average,1078,0.08162236420688299,21,230698,Ext,1,BLA,9.102809733937875e-05,4.303538740732456e-05,0.05876339858422429,2.1151917717809576,1.389000060809884
ens_a1,ens_a1,bin_average,1079,0.1146497038373405,31,350210,Ext,1,BLA,8.851831758088005e-05,4.303538740732456e-05,0.05876339858422429,2.056872795010888,1.951039364631295
ens_a1,ens_a1,bin_average,1080,0.11761296165398344,114,503389,Ext,1,BLA,0.0002264650200938042,4.303538740732456e-05,0.05876339858422429,5.262297698178968,2.001466295136272
ens_a1,ens_a1,bin_average,1081,0.0959981223883374,19,314380,Ext,1,BLA,6.04364145301864e-05,4.303538740732456e-05,0.05876339858422429,1.4043422906401026,1.6336380247092992
ens_a1,ens_a1,bin_average,1082,0.11041819350675426,14,197036,Ext,1,BLA,7.105300554213443e-05,4.303538740732456e-05,0.05876339858422429,1.6510367356433118,1.879030079386819
ens_a1,f27o_sc_cyc_inns_01_cFOS_staple_4.0018.h5,fold_4,1063,,0,409334,Ctrl,0,BLA,0.0,4.8057938775352306e-05,0.06862630599438226,0.0,
ens_a1,f27o_sc_cyc_inns_01_cFOS_staple_4.0018.h5,fold_4,1064,,0,260641,Ctrl,0,BLA,0.0,4.8057938775352306e-05,0.06862630599438226,0.0,
ens_a1,f27o_sc_cyc_inns_01_cFOS_staple_4.0018.h5,fold_4,1065,0.043400790879861456,9,404056,Ctrl,0,BLA,2.227414021818758e-05,4.8057938775352306e-05,0.06862630599438226,0.4634851345229026,0.6324220756310888
ens_a1,f27o_sc_cyc_inns_01_cFOS_staple_4.0018.h5,fold_4,1066,0.03724949546610115,29,350413,Ctrl,0,BLA,8.275948666288066e-05,4.8057938775352306e-05,0.06862630599438226,1.7220773252415456,0.5427874184157659
ens_a1,f27o_sc_cyc_inns_01_cFOS_staple_4.0018.h5,fold_4,1067,0.07487250346809145,24,308418,Ctrl,0,BLA,7.781646985584499e-05,4.8057938775352306e-05,0.06862630599438226,1.6192219608002638,1.0910175388752603
ens_a1,f27o_sc_cyc_inns_01_cFOS_staple_4.0018.h5,fold_4,1068,0.08329384280654177,98,423011,Ctrl,0,BLA,0.00023167246241823498,4.8057938775352306e-05,0.06862630599438226,4.820690781208741,1.2137305308748543
ens_a1,f27o_sc_cyc_inns_01_cFOS_staple_4.0018.h5,fold_4,1069,0.07672002330380319,9,433601,Ctrl,0,BLA,2.075640969462709e-05,4.8057938775352306e-05,0.06862630599438226,0.4319038690288674,1.1179389913553484
ens_a1,f27o_sc_cyc_inns_01_cFOS_staple_4.0018.h5,fold_4,1070,0.09392997488906435,11,411937,Ctrl,0,BLA,2.6703112369124403e-05,4.8057938775352306e-05,0.06862630599438226,0.555644146411451,1.3687167555944721
ens_a1,f27o_sc_cyc_inns_01_cFOS_staple_4.0018.h5,fold_4,1071,0.07130124777183601,1,311541,Ctrl,0,BLA,3.209850388873375e-06,4.8057938775352306e-05,0.06862630599438226,0.06679126218620982,1.0389783733612694
